0,0,0,52.0,1
1,1,15,37.0,0
2,3,4,42.0,1
3,0,0,16.0,1
4,1,1,32.0,0
6,1,1,27.0,0
7,0,1,32.0,1
8,0,0,32.0,1
9,0,0,37.0,1
10,0,0,37.0,1
11,1,4,37.0,0
12,1,1,47.0,0
13,1,1,52.0,0
14,1,1,27.0,0
15,0,0,47.0,1
16,1,1,32.0,0
17,1,9,37.0,0
18,1,8,37.0,0
20,0,0,42.0,1
21,1,1,52.0,0
22,1,3,27.0,0
23,1,5,37.0,0
24,0,0,42.0,1
25,0,5,52.0,1
26,0,0,47.0,1
27,0,0,47.0,1
28,1,1,42.0,0
29,1,1,47.0,0
31,0,0,21.0,1
33,1,1,42.0,0
34,1,8,37.0,0
36,0,0,42.0,1
37,0,0,32.0,1
39,0,0,42.0,1
40,1,15,32.0,0
41,1,1,32.0,0
42,1,1,42.0,0
43,1,2,27.0,0
44,1,1,47.0,0
45,0,0,47.0,1
46,1,20,52.0,0
47,0,0,32.0,1
48,1,5,62.0,0
49,0,0,42.0,1
50,0,0,47.0,1
51,0,0,27.0,1
52,1,5,27.0,0
53,1,8,32.0,0
54,0,0,37.0,1
55,1,1,32.0,0
56,1,3,27.0,0
57,0,0,32.0,1
58,1,1,27.0,0
59,1,2,27.0,0
60,1,1,32.0,0
61,2,3,27.0,0
62,0,0,42.0,1
63,0,0,32.0,1
64,1,3,37.0,0
65,1,5,47.0,0
66,3,9,52.0,0
67,0,0,21.0,1
68,1,1,47.0,0
69,1,2,32.0,0
71,0,0,42.0,1
74,0,0,27.0,1
75,0,1,37.0,1
76,1,2,37.0,0
78,0,0,37.0,1
79,0,0,52.0,1
80,0,0,52.0,1
81,1,2,32.0,0
82,1,1,52.0,0
84,1,5,27.0,0
85,1,2,52.0,0
86,1,1,32.0,0
89,0,0,32.0,1
90,0,0,42.0,1
91,1,1,42.0,0
92,1,5,47.0,0
93,1,2,52.0,0
94,1,1,42.0,0
96,1,7,52.0,0
97,1,1,37.0,0
98,1,1,42.0,0
99,0,1,37.0,1
101,1,1,21.0,0
102,1,1,47.0,0
103,1,5,32.0,0
104,1,7,47.0,0
105,1,3,27.0,0
106,1,4,21.0,0
107,1,1,47.0,0
108,1,1,27.0,0
110,0,0,21.0,1
111,1,1,32.0,0
113,0,0,37.0,1
