runnerId,allTimeAvg,noRaces,category,resultTime
6928,16152,3,57.0,15459
6931,16166,0,21.0,14176
6937,15838,2,47.0,12088
6947,16115,0,52.0,13091
6949,15838,0,47.0,18048
6956,15919,0,27.0,11620
6957,18281,2,21.0,10882
6958,15674,0,42.0,12763
6960,16166,0,21.0,12577
6962,16771,2,62.0,26478
6964,15479,2,47.0,15751
6966,16115,0,52.0,12930
6967,15919,0,27.0,15766
6969,15168,3,42.0,13403
6984,15919,0,27.0,18221
6986,15674,1,42.0,11946
6989,15919,0,27.0,22420
6990,15810,1,32.0,22030
6996,15919,1,27.0,12390
7000,15810,1,32.0,23252
7001,15645,1,37.0,13127
7002,15838,1,47.0,17870
7006,15674,1,42.0,20072
7008,15810,0,32.0,16107
7015,15919,0,27.0,15840
7018,16152,1,57.0,19084
7019,15645,1,37.0,24624
7022,15674,0,42.0,20551
7025,15674,0,42.0,22854
7027,15645,0,37.0,15815
7028,13714,25,37.0,13245
7030,15838,1,47.0,14910
7038,16115,1,52.0,19499
7039,15838,0,47.0,13421
7044,15919,2,27.0,14615
7050,15674,0,42.0,16852
7054,15810,0,32.0,14975
7057,16166,0,21.0,13670
7059,18424,0,74.5,21685
7062,15810,0,32.0,13787
7074,15810,1,32.0,15298
7078,15838,1,47.0,20084
7081,15838,0,47.0,15369
7090,15810,0,32.0,16552
7091,16166,0,21.0,14879
7092,16115,2,52.0,17446
7095,15919,0,27.0,15373
7097,16115,0,52.0,12638
7107,16115,0,52.0,17865
7108,15919,0,27.0,18881
7110,15838,0,47.0,19218
7111,15674,0,42.0,11427
7113,16152,0,57.0,12317
7114,15645,0,37.0,12143
7115,15919,0,27.0,22107
7121,15919,0,27.0,18325
7124,15838,1,47.0,17713
7128,15919,3,27.0,17589
7129,15165,18,42.0,18629
7130,15674,0,42.0,14436
7133,15674,0,42.0,19894
7137,17203,1,52.0,16810
7139,15645,1,37.0,13923
7143,15645,0,37.0,18422
7144,15838,0,47.0,19624
7146,16152,0,57.0,14337
7149,15810,2,32.0,12108
7158,15645,0,37.0,22908
7160,15645,0,37.0,17770
7161,15838,3,47.0,12755
7165,15645,2,37.0,24364
7168,15674,0,42.0,15534
7170,15838,1,47.0,22999
7171,15674,0,42.0,13143
7175,16115,0,52.0,16915
7177,15645,0,37.0,24222
7179,15810,0,32.0,12044
7185,15645,0,37.0,19024
7188,15838,0,47.0,10047
7191,16166,0,21.0,20926
7194,15645,0,37.0,16703
7196,16166,0,21.0,16709
7198,15674,1,42.0,11517
7204,23160,1,37.0,18136
7205,15838,0,47.0,15743
7210,16115,0,52.0,15825
7211,15838,0,47.0,14800
7212,16115,1,52.0,17089
7213,15838,2,47.0,11839
7218,15810,1,32.0,18122
7221,16166,0,21.0,16595
7227,15838,0,47.0,18918
7228,15810,0,32.0,18135
7231,16115,1,52.0,24184
7233,15674,0,42.0,17500
7253,15645,0,37.0,20773
7261,16115,0,52.0,12499
7262,16115,0,52.0,14336
7265,16152,1,57.0,15428
7267,16152,2,57.0,19568
7274,15919,0,27.0,12093
7280,15674,5,42.0,18941
7282,15645,1,37.0,17635
7296,16166,0,21.0,16917
7299,15810,1,32.0,19513
7300,15810,1,32.0,14319
7304,15674,2,42.0,19456
7305,15645,0,37.0,14803
7309,15838,2,47.0,9685
7312,16166,0,21.0,17595
7314,15645,0,37.0,15960
7324,16166,0,21.0,20525
7325,15674,0,42.0,22438
7327,16115,0,52.0,23316
7329,16115,0,52.0,17208
7330,15810,0,32.0,17465
