2012-05-20,ScotiabankBlueNoseMarathon,HALFMARATHON
2012-05-20,ScotiabankBlueNoseMarathon,5KM
2012-05-26,DefiMemphre,10KM
2012-05-26,DefiMemphre,5KM
2012-05-26,DefiPhysioExtradeTerrebonne,10KM
2012-05-26,DefiPhysioExtradeTerrebonne,5KM
2012-05-26,DemiMarathonGenerations,DEMIMARATHON
2012-05-26,DemiMarathonGenerations,10KMCOURSE
2012-05-26,DemiMarathonGenerations,5KM
2012-05-26,OttawaRaceWeekend,10KM
2012-05-26,OttawaRaceWeekend,5KM
2012-05-26,OttawaRaceWeekend,2KM
2012-05-27,DefiBarefootMerrell,10KM
2012-05-27,OttawaRaceWeekend,HALFMARATHON
2012-05-27,OttawaRaceWeekend,MARATHON
2012-05-27,SaskatchewanMarathon,HALFMARATHON
2012-05-27,TorontoWomen'sHalfMarathon&5K,HALFMARATHON
2012-05-27,TriathlonDuathlond'Oka,TRIATHLON
2012-06-02,Coursedesiles,21KM
2012-06-02,Coursedesiles,5KM
2012-06-02,Coursedesiles,10KM
2012-06-02,Coursedesiles,5KMMARCHE
2012-06-02,WellingtonWomen'sHalfMarathonandHalfaHalf,HALFMARATHON
2012-06-03,BeatBeethoven8KmRun,8KM
2012-06-03,BreadandHoneyRaces,15KM
2012-06-03,DefidesEscaliers,GRIMPEURS
2012-06-03,DefidesEscaliers,19KM
2012-06-03,DefidesEscaliers,SPRINTEURS
2012-06-03,DefidesEscaliers,13KM
2012-06-03,DéfiTri-O-Lacs,10KM
2012-06-03,DéfiTri-O-Lacs,2KM
2012-06-03,DéfiTri-O-Lacs,5KM
2012-06-03,Ironman70.3Mooseman,OVERALL
2012-06-03,TriathlondeJoliette,SPRINTTRIATHLON
2012-06-09,BarrhavenRunforRoger'sHouse,10K
2012-06-09,FootstockRaceWeekend,DUATHLON
2012-06-09,OttawaRiverTriathlon&Duathlon,SPRINTTRIATHLON
2012-06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONSPRINT
2012-06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE
2012-06-09,Triathlon/DuathlonMont-Tremblant,DUATHLONSPRINT
2012-06-09,Triathlon/DuathlonMont-Tremblant,DUATHLONOLYMPIQUE
2012-06-10,DemimarathondespompiersdeShawinigan,21KM
2012-06-10,DemimarathondespompiersdeShawinigan,5KM
2012-06-10,DemimarathondespompiersdeShawinigan,10KM
2012-06-10,LaGrandeVireedesSentiersSt-Bruno,10KM
2012-06-10,LaGrandeVireedesSentiersSt-Bruno,20KM
2012-06-10,LaGrandeVireedesSentiersSt-Bruno,5KM
2012-06-10,LaGrandeVireedesSentiersSt-Bruno,1KMU6
2012-06-10,RunWalk4PatrickFamilyFest,HALFMARATHON
2012-06-10,RunWalk4PatrickFamilyFest,10KM
2012-06-16,SubaruGuelphLakeISprintTriathlon&Duathlon,SPRINTDUATHLON
2012-06-16,SubaruGuelphLakeISprintTriathlon&Duathlon,TRYATRI
