2012-07-08,IRONMAN70.3RHODEISLAND
2012-07-14,BUSHTUKAHBRINGONTHEBAY3KOPENWATERSWIMFOREASTERSEALS
2012-07-14,DEMI-MARATHONMARCELJOBIN
2012-07-14,TRIATHLONST-LAMBERT
2012-07-15,DEFIDESDAMESDECOEUR
2012-07-15,THEFRIENDLYMASSEYMARATHON
2012-07-15,TRIATHLONO2DESHERBROOKE
2012-07-15,TRIATHLONDEQUEBEC
2012-07-19,DOWNTOWNDASH
2012-07-22,COUPEDIX302012
2012-07-22,IRONMANLAKEPLACID
2012-07-22,LINDSAYMILKRUN
2012-07-22,SUBARUMUSKOKATRIATHLONANDDUATHLON
2012-07-22,TRIATHLONTRIMEMPHREDEMAGOG
2012-07-28,MULTISPORTCANADATRIATHLONSERIESCOBOURG
2012-08-04,NATIONALCAPITAL5AND10KMRUN
2012-08-04,NATIONALCAPITALTRIATHLONDUATHLONANDRELAYS
2012-08-05,DEEPRIVERTRIATHLON
2012-08-05,DÉFIBORÉALSAINTE-ANNE-DE-BELLEVUE
2012-08-05,K-TOWNTRIATHLONANDDUATHLON
2012-08-05,TRIATHLONSTE-AGATHE
2012-08-05,TRIATHLONTERREBONNE
2012-08-11,IRONMANU.S.CHAMPIONSHIPS
2012-08-11,TRIATHLONPROMUTUELDUFJORD
2012-08-12,DEMI-MARATHONDUMONT-TREMBLANT
2012-08-12,GRANFONDOGARNEAU-CASCADES
2012-08-12,GREATRAISINRIVERFOOTRACE
2012-08-12,TORONTOINTERNATIONALTENMILERAND5K
2012-08-12,TRIATHLONDEVERDUN
2012-08-15,LE5KMENDURANCE
2012-08-18,AMIDSUMMERNIGHTSRUN
2012-08-19,APPLETRIATHLON
2012-08-19,COUPEDIX302012
2012-08-19,EDMONTONMARATHON
2012-08-19,IRONMAN70.3TIMBERMAN
2012-08-19,IRONMANMONT-TREMBLANT
2012-08-25,TORONTOWOMENS10K&5K
2012-08-26,IRONMANCANADA
2012-08-26,IRONMANLOUISVILLE
2012-08-26,MARATHONDESDEUXRIVESLÉVIS-QUÉBEC
2012-08-26,TRIATHLONDEVALLEYFIELD
2012-09-01,CANADIANIRON226TRIATHLONDUATHLONANDRELAYS
2012-09-01,SUBARUGUELPHLAKEIITRIATHLONANDDUATHLON
2012-09-01,THECANADIANMARATHONHALFMARATHON8KMAND3KMRUNS
2012-09-08,KEMPTVILLERACEDAY
2012-09-08,RBCGRANFONDOCANADAWHISTLER
2012-09-08,TRIATHLONESPRITDEMONTREAL
2012-09-09,CANMOREROCKYMOUNTAINHALFMARATHON
2012-09-09,DEMI-MARATHONGRANBY
2012-09-09,IRONMANMUSKOKA70.3
2012-09-09,IRONMANWORLDCHAMPIONSHIP70.3
2012-09-09,QUEENCITYMARATHON
2012-09-15,DUATHLONST-SAUVEUR
2012-09-16,LAGRANDEVADROUILLE
2012-09-22,DEFIVELOMAG
2012-09-22,OASISZOORUN10KRUN5KRUN
2012-09-23,ARMYRUN/COURSEDELARMEE
2012-09-23,DEFIVELOMAG
