










1,0,37.0,3,0






2,12098,42.0,1,11509
2,12176,42.0,1,11509
2,11904,42.0,1,11509










11,12171,37.0,1,0
11,12171,37.0,1,0
11,0,37.0,1,0








17,16574,37.0,5,0
17,16574,37.0,5,0


17,0,37.0,2,0




18,0,37.0,2,0







22,14669,27.0,1,0
22,0,27.0,2,0




23,0,37.0,2,0





















34,13874,37.0,4,0
34,13874,37.0,4,0



















40,0,32.0,5,0







43,0,27.0,1,0











46,16465,52.0,6,0



46,0,52.0,9,0




46,0,52.0,9,0



48,0,62.0,3,0










52,0,27.0,3,0




53,0,32.0,2,0








56,0,27.0,1,0


59,0,27.0,2,0


61,13625,27.0,1,0
61,13747,27.0,1,0





64,0,37.0,1,0
65,0,47.0,3,0






66,12777,52.0,2,0

66,12905,52.0,2,0
66,12905,52.0,2,0
66,12943,52.0,3,0





69,0,32.0,1,0









76,0,37.0,1,0





81,0,32.0,1,0





84,0,27.0,3,0


85,0,52.0,2,0












92,0,47.0,1,0
93,12046,52.0,1,0
93,0,52.0,1,0





96,17689,52.0,2,0
96,17637,52.0,1,0

96,17689,52.0,3,0













103,0,32.0,2,0


104,0,47.0,5,0


104,0,47.0,5,0



105,0,27.0,1,0


106,0,21.0,2,0












114,15544,42.0,1,0







114,0,42.0,6,0













120,0,32.0,2,0




121,0,32.0,1,0



122,0,32.0,4,0







125,0,37.0,2,0


127,15712,57.0,1,0
127,16794,57.0,1,0
128,0,21.0,1,0
















132,0,52.0,4,0




132,16783,52.0,5,0














137,0,37.0,2,0






140,15024,42.0,1,16381

140,16087,42.0,5,16381

140,16087,42.0,5,16381

140,15732,42.0,2,16381

141,0,47.0,2,0

142,0,37.0,2,0




145,12394,32.0,2,0
145,12394,32.0,2,0
145,14156,32.0,2,0
145,14156,32.0,2,0














153,0,47.0,1,0













157,11994,47.0,7,0



157,11994,47.0,7,0


157,13176,47.0,4,0







161,0,27.0,1,0

